spider_oid,spider_fststake,spider_lststake,spider_direction,spider_dist,spider_postdate,spider_ref,START_TIME,END_TIME,spider_status,fake_dist,fake_direction,event_type,reason,event_source,start_time,end_time,loc_name,cycle,begin_end,ref_point,ref_point_type,description,is_sure,speed,available,occupy,weather,city,link_info
K972-K1037-G40-G2,K1008+750,K1008+750,双向,0.0,2016-08-10 12:09:09,http://218.2.208.140:8091/JSWeb/servlet/custService?key=getLUWSJSSB&traffictype=,2016-08-15 06:00:00,2016-09-30 18:00:00,,,,,1,江苏省交通运输厅,1471212000000,1475229600000,G2与G40共线K972至K1037|,,,"119.978124,32.289094",1,宁通高速宣堡服务区改扩建工程，计划于2016年8月15日—2017年3月30日实施，共分为三个阶段，第一阶段为：2016年8月15日—2016年9月30日，主要施工内容：左右幅主线拼宽路基、部分新建匝道路基及K1008+750通道拼宽范围施工。交通组织方式：主线正常通行，服务区正常通行。,1,,,,-1,,
S228-S22-176K-172K,17.2K,17.6K,双向,0.40000000000000213,null,http://218.2.208.140:8091/JSWeb/servlet/custService?key=getLUWSJSSB&traffictype=,2016-08-14 14:45:13,2016-09-20 23:45:00,,,,,2,江苏省交通运输厅,1471157113000,1474386300000,"锡张线(道路注销,明年改线)|S228(已注销)",,,"-1,-1",1,"因养护施工,锡张线(道路注销,明年改线)[S228(已注销)],双向,17.2K至17.6K,目前行驶缓慢,采取限速行驶的措施,请谨慎驾驶。开始时间2016年08月14日,预计恢复时间2016年09月20日 23时。",1,,,,-1,,
S342-606K-593K,59.3K,60.6K,下行,1.3000000000000043,null,http://218.2.208.140:8091/JSWeb/servlet/custService?key=getLUWSJSSB&traffictype=,2016-08-14 09:00:00,2016-08-24 23:45:00,,,,,2,江苏省交通运输厅,1471136400000,1472053500000,虞宜线|S342,,,"120.16804,31.602271",1,"因养护施工,虞宜线[S342],下行[苏常线转盘方向],59.3K至60.6K,目前行驶缓慢,采取借道行驶的措施,请谨慎驾驶。开始时间2016年08月14日,预计恢复时间2016年08月24日 23时。",1,,,,-1,,
S229-1594K-1591K,159.1K,159.4K,下行,0.30000000000001137,null,http://218.2.208.140:8091/JSWeb/servlet/custService?key=getLUWSJSSB&traffictype=,2016-08-12 18:00:00,2016-08-19 18:00:00,,,,,2,江苏省交通运输厅,1470996000000,1471600800000,盐锡线|S229,,,"120.308719,32.085308",1,"因养护施工,盐锡线[S229],下行[南新河方向],159.1K至159.4K,目前行驶缓慢,采取借道行驶的措施,请谨慎驾驶。开始时间2016年08月12日,预计恢复时间2016年08月19日 18时。",1,,,,-1,,
S247-61K-36K,36K,61K,上行,25.0,null,http://218.2.208.140:8091/JSWeb/servlet/custService?key=getLUWSJSSB&traffictype=,2016-08-11 08:00:00,2016-09-30 18:00:00,,,,,2,江苏省交通运输厅,1470873600000,1475229600000,淮六线|S247,,,"-1,-1",1,"因养护施工,淮六线[S247],上行[东坝头方向],36K至61K,目前行驶缓慢,采取借道行驶的措施,请谨慎驾驶。开始时间2016年08月11日,预计恢复时间2016年09月30日 18时。",1,,,,-1,,
K1218-K1203700-K1203250-K1183-G15,K1203+700,K1203+250,上行,0.4500000000000455,2016-08-09 18:33:28,http://218.2.208.140:8091/JSWeb/servlet/custService?key=getLUWSJSSB&traffictype=,2016-08-10 09:00:00,2016-08-20 23:00:00,,,,,2,江苏省交通运输厅,1470790800000,1471705200000,G15K1183至K1218|,,,"120.994975,31.777204",1,盐城方向，主跨（K1203+700-K1203+250）桥面铺装施工，24小时封闭第三、应急车道,1,,,,-1,,
K258-K212-G40,K212+415,K212+415,双向,0.0,2016-08-04 16:43:07,http://218.2.208.140:8091/JSWeb/servlet/custService?key=getLUWSJSSB&traffictype=,2016-08-10 00:00:00,2016-11-30 23:59:00,,,,,2,江苏省交通运输厅,1470758400000,1480521540000,G40K212至K258|,,,"120.458303,32.135407",1,宁通高速广九段（K212+415--K259+716）路面维修工程，自2016年8月10至2016年11月30日需对该路段实行半幅封闭施工半幅通行的交通管制措施，封闭时需借道行驶。具体封闭路段、封闭方向和封闭时间在施工封闭实施前再按实上报。,1,,,,-1,,
G328-328213K-327K,327K,328.213K,双向,1.2130000000000223,null,http://218.2.208.140:8091/JSWeb/servlet/custService?key=getLUWSJSSB&traffictype=,2016-08-09 11:20:28,2017-03-01 10:45:00,,,,,2,江苏省交通运输厅,1470712828000,1488336300000,宁海线|G328,,,"-1,-1",1,"因养护施工,宁海线[G328],双向,327K至328.213K,目前行驶缓慢,采取限速行驶的措施,请谨慎驾驶。开始时间2016年08月09日,预计恢复时间2017年03月01日 10时。",1,,,,-1,,
S336-140656K-,140.656K,,双向,-1,null,http://218.2.208.140:8091/JSWeb/servlet/custService?key=getLUWSJSSB&traffictype=,2016-08-09 11:00:00,2016-12-31 17:00:00,,,,,2,江苏省交通运输厅,1470711600000,1483174800000,海通都线|S336,,,"-1,-1",1,"因养护施工,海通都线[S336],双向,140.656K处,目前阻断,采取中断双向交通的措施,请选择其它线路绕行。开始时间2016年08月09日,预计恢复时间2016年12月31日 17时。",1,,,,-1,,
S336-1407K-140656K,140.656K,140.7K,双向,0.04399999999998272,null,http://218.2.208.140:8091/JSWeb/servlet/custService?key=getLUWSJSSB&traffictype=,2016-08-09 11:00:00,2016-12-31 17:00:00,,,,,2,江苏省交通运输厅,1470711600000,1483174800000,海通都线|S336,,,"-1,-1",1,"因养护施工,海通都线[S336],双向,140.656K至140.7K,目前阻断,采取中断双向交通的措施,请选择其它线路绕行。开始时间2016年08月09日,预计恢复时间2016年12月31日 17时。",1,,,,-1,,
S223-5992K-,59.92K,,双向,-1,null,http://218.2.208.140:8091/JSWeb/servlet/custService?key=getLUWSJSSB&traffictype=,2016-08-09 09:00:00,2016-12-31 17:00:00,,,,,2,江苏省交通运输厅,1470704400000,1483174800000,如渡线|S223,,,"121.03795,32.035778",1,"因养护施工,如渡线[S223],双向,59.92K处,目前阻断,采取中断双向交通的措施,请选择其它线路绕行。开始时间2016年08月09日,预计恢复时间2016年12月31日 17时。",1,,,,-1,,
S223-60K-5992K,59.92K,60K,双向,0.0799999999999983,null,http://218.2.208.140:8091/JSWeb/servlet/custService?key=getLUWSJSSB&traffictype=,2016-08-09 09:00:00,2016-12-31 17:00:00,,,,,2,江苏省交通运输厅,1470704400000,1483174800000,如渡线|S223,,,"121.037998,32.035411",1,"因养护施工,如渡线[S223],双向,59.92K至60K,目前阻断,采取中断双向交通的措施,请选择其它线路绕行。开始时间2016年08月09日,预计恢复时间2016年12月31日 17时。",1,,,,-1,,
G328-2406K-2373K,237.3K,240.6K,双向,3.299999999999983,null,http://218.2.208.140:8091/JSWeb/servlet/custService?key=getLUWSJSSB&traffictype=,2016-08-09 08:00:00,2016-10-10 09:00:00,,,,,2,江苏省交通运输厅,1470700800000,1476061200000,宁海线|G328,,,"-1,-1",1,"因养护施工,宁海线[G328],双向,237.3K至240.6K,目前阻断,采取借道行驶的措施,请谨慎驾驶。开始时间2016年08月09日,预计恢复时间2016年10月10日 09时。",1,,,,-1,,
G328-2297K-2277K,227.7K,229.7K,双向,2.0,null,http://218.2.208.140:8091/JSWeb/servlet/custService?key=getLUWSJSSB&traffictype=,2016-08-09 08:00:00,2016-10-10 09:00:00,,,,,2,江苏省交通运输厅,1470700800000,1476061200000,宁海线|G328,,,"-1,-1",1,"因养护施工,宁海线[G328],双向,227.7K至229.7K,目前阻断,采取借道行驶的措施,请选择其它线路绕行。开始时间2016年07月11日,预计恢复时间2016年10月10日 09时。",1,,,,-1,,
S338-96K-91K,9.1K,9.6K,上行,0.5,null,http://218.2.208.140:8091/JSWeb/servlet/custService?key=getLUWSJSSB&traffictype=,2016-08-08 16:03:19,2016-09-20 23:45:00,,,,,2,江苏省交通运输厅,1470643399000,1474386300000,宁镇线|S338,,,"121.231707,31.536058",1,"因养护施工,宁镇线[S338],上行[栖霞镇方向],9.1K至9.6K,目前行驶缓慢,采取右侧非机动车道和人行道实行全封闭施工的措施,请谨慎驾驶。开始时间2016年08月08日,预计恢复时间2016年09月20日 23时。",1,,,,-1,,
G205-12996K-12855K,1285.5K,1299.6K,上行,14.099999999999909,null,http://218.2.208.140:8091/JSWeb/servlet/custService?key=getLUWSJSSB&traffictype=,2016-08-08 14:45:00,2016-09-23 18:30:00,,,,,2,江苏省交通运输厅,1470638700000,1474626600000,山深线|G205,,,"118.596091,31.84287",1,"因养护施工,山深线[G205],上行[铜井方向],1285.5K至1299.6K,目前行驶缓慢,采取借道行驶的措施,请谨慎驾驶。开始时间2016年08月08日,预计恢复时间2016年09月23日 18时。",1,,,,-1,,
