id,link_info
116017,"[{""navids"":""87823368;87823379;87823378"";""directions"":""3;2;3""};{""navids"":""87823377;87823380;87823382"";""directions"":""2;2;2""}]"
153804,"[{""navids"":""87823430;87823431;87823434;87823438"";""directions"":""2;2;2;2""};{""navids"":""87823436;87823433;87823432;87823428"";""directions"":""3;3;2;3""}]"
152849,"[{""navids"":""716181;716180;716177;716175;716173"";""directions"":""3;3;2;3;3""};{""navids"":""716172;716174;14505395;14505396;716178;716179"";""directions"":""2;2;2;2;2;2""}]"
153929,"[{""navids"":""87967429;12544165;1266932;1266919;1259199;14666813;14666814;49383269;49383270;1253106;1262282;1262283"";""directions"":""3;3;3;3;2;2;2;2;2;2;2;2""};{""navids"":""1262281;49383268;49383267;1253105;1262287;1262286;1259198;1266928;1266929;49383273;87967505;87967506;12544190"";""directions"":""3;2;3;3;3;3;3;2;2;2;2;2;2""}]"
151759,"[{""navids"":""14666785;14666787"";""directions"":""2;3""}]"
151758,"[{""navids"":""14666785;14666787"";""directions"":""2;3""}]"
152567,
152203,"[{""navids"":""14666785;14666787"";""directions"":""2;3""}]"
132291,"[{""navids"":""87823448;87823446;87823440;87823436;87823433;87823432;87823428"";""directions"":""3;3;3;2;3;3;3""};{""navids"":""87823430;87823431;87823434;87823438"";""directions"":""2;2;2;2""}]"
154060,"[{""navids"":""12544200;12544151;12544114;12544115;12544104"";""directions"":""2;2;2;2;2""};{""navids"":""12544106;12544102;12544113;12544196;12544195"";""directions"":""3;3;3;2;3""}]"
133263,"[{""navids"":""14943129;14943121;14943118;14943119;14943101;14943097;14943093"";""directions"":""2;2;2;2;2;2;2""};{""navids"":""14943094;14943098;14943102;14943110;14943111;14943122;14943130"";""directions"":""2;2;2;2;2;2;2""}]"
154061,"[{""navids"":""14726840;14726839;12836136;12836153;12836157;12836156;12836129;12836167;12836166;12836249"";""directions"":""3;3;3;3;3;3;2;3;3;3""};{""navids"":""14726837;14726838;12836164;12836165;12836131;12836158;12836159;12836154;12836155;12836139"";""directions"":""2;2;2;2;2;2;2;2;2;2""}]"
154062,"[{""navids"":""14943596;14943577;14943591;14943590;14943587;14943586"";""directions"":""3;3;3;3;2;3""};{""navids"":""14943554;14943555;14943556;14943588;14943589;14943592;14943594"";""directions"":""2;2;2;2;2;2;2""}]"
132296,"[{""navids"":""669736;669738"";""directions"":""2;2""};{""navids"":""669737;669735"";""directions"":""3;2""}]"
154063,"[{""navids"":""55118273;14505400;1325873;1325875;1325877;1325878;1325855;1325857;1325916;1325917;1325908;40221689"";""directions"":""2;2;2;2;2;2;2;2;2;2;2;2""};{""navids"":""14505401;1325858;55118271;55118270;1325915;1325914;1325903;1325902;1325879;1325876;1325874;1325872"";""directions"":""3;3;3;3;3;3;3;2;3;3;3;3""}]"
154065,"[{""navids"":""1457855;1457854;1453163;1464022;1464021;1464020;87678734;87678812;87678811"";""directions"":""3;3;3;2;3;3;3;3;3""}]"
