spider_oid,spider_fststake,spider_lststake,spider_direction,spider_dist,spider_postdate,spider_ref,START_TIME,END_TIME,spider_status,fake_dist,fake_direction,event_type,reason,event_source,start_time,end_time,loc_name,cycle,begin_end,ref_point,ref_point_type,description,is_sure,speed,available,occupy,weather,city,link_info,eventid,deleted
129950,K92+855,K92+855,顺昌收费站-峡阳收费站,0.0,2016-06-17 15:38:55,14,2016-08-03 16:10:21,,,,,,2,福建高速公路,1470211821000,0,S10|宁光高速,,,"117.836 ,26.8043",4,S10线宁光高速顺昌段顺昌往南平方向K92+855处（过顺昌收费站约500米，顺昌3#隧道口），正在养护施工，占用应急车道，该路段目前单车道通行，请途经车辆谨慎驾驶，提前减速。,0,,,,,,,,
130453,K20,K24,海沧枢纽-长泰天柱山收费站,4000.0,2016-06-22 17:09:32,14,2016-08-23 11:37:18,,,,,,2,福建高速公路,1471923438000,0,G76|厦蓉高速,,,"117.891 ,24.5687",4,G76线厦蓉高速漳州段厦门往龙岩方向K20至K24（天成山隧道，距天柱山收费所约4公里）正在养护施工，占用第一、二车道，该路段目前单车道通行，请途经车辆谨慎驾驶，提前减速。,0,,,,,,,,
130488,K288,K289,宁上闽赣收费站-宁上闽赣交界,1000.0,2016-06-23 08:31:45,14,2016-06-23 08:16:58,,,,,,2,福建高速公路,1466641018000,0,G1514宁上高速武夷山段宁上闽赣往江西上饶方向K288-K289处（过洋庄服务区约8公里，大安岭隧道内），正在养护施工，占用主车道，该路段目前单车道通行，道路通行比较缓慢，请途经车辆谨慎驾驶，提前减速。|,,,"117.905 ,27.8545",4,G1514宁上高速武夷山段宁上闽赣往江西上饶方向K288-K289处（过洋庄服务区约8公里，大安岭隧道内），正在养护施工，占用主车道，该路段目前单车道通行，道路通行比较缓慢，请途经车辆谨慎驾驶，提前减速。,0,,,,,,,,
130511,K159+150,K159+150,罗源湾收费站-飞鸾枢纽,0.0,2016-06-23 09:48:54,14,2016-06-23 09:44:10,,,,,,2,福建高速公路,1466646250000,0,接养护中心通知：G15W3|,,,"119.605 ,26.4818",4,接养护中心通知：G15W3线沈海复线福州段福州往宁德方向K159+150（过罗源湾收费站约2公里）正在养护施工，占用紧急停车道，请途经车辆谨慎驾驶，提前减速。,0,,,,,,,,
130619,K82+900,K82+500,金山收费站-南靖丰田收费站,400.0,2016-06-24 13:25:43,14,2016-06-24 13:21:31,,,,,,2,福建高速公路,1466745691000,0,G76|厦蓉高速,,,"117.394 ,24.7271",4,G76线厦蓉高速漳州段龙岩往漳州方向K82+900至K82+500处(过金山收费所约8公里)正在养护施工，占用紧急停车带，请途经车辆谨慎驾驶，提前减速。,0,,,,,,,,
131099,K2019,K2021,水古收费站-丹阳收费站,2000.0,2016-06-29 10:46:53,14,2016-08-20 10:11:00,,,,,,2,福建高速公路,1471659060000,0,G15|沈海高速,,,"119.493 ,26.413",4,G15线沈海高速罗长段宁德往福州方向K2019-K2021（过丹阳收费站约3公里）正在养护施工，占用快车道，该路段目前单车道通行，请途经车辆谨慎驾驶，提前减速。,0,,,,,,,,
131523,K45+700,K45+700,永泰西收费站-永泰梧桐收费站,0.0,2016-07-03 16:16:09,14,2016-07-03 16:09:24,,,,,,2,福建高速公路,1467533364000,0,S35|S35线沈海复线,,,"117.323 ,24.3199",4,S35线沈海复线福永段福州往梧桐、仙游方向K45+700处（过永泰西收费所约5公里）正在养护施工，占用慢车道、应急车道，请途经车辆谨慎驾驶，提前减速。,0,,,,,,,,
132011,K2892+100,K2892+100,大横收费站-南雅收费站,0.0,2016-07-08 13:06:15,14,2016-07-08 13:04:39,,,,,,2,福建高速公路,1467954279000,0,G25|长深高速,,,"118.267 ,26.7974",4,G25线长深高速延平段南平往建瓯方向K2892+100处（过大横收费站约1公里），正在养护施工，占用主车道，该路段目前单车道通行，道路通行比较缓慢，请途经车辆谨慎驾驶，提前减速。,0,,,,,,,,
132022,K80+700,K80+400,金山收费站-南靖丰田收费站,300.0,2016-07-08 16:09:08,14,2016-07-08 16:06:51,,,,,,2,福建高速公路,1467965211000,0,G76|厦蓉高速,,,"117.409 ,24.715",4,G76线厦蓉高速漳州段龙岩往漳州方向K80+700至K80+400处（距南靖丰田收费所约8公里）正在养护施工，占用紧急停车带，请途经车辆谨慎驾驶，提前减速。,0,,,,,,,,
132289,K18,K18,旗山收费站-永泰葛岭收费站,0.0,2016-07-11 16:28:50,14,2016-07-11 16:35:39,,,,,,2,福建高速公路,1468226139000,0,S35|S35线沈海复线,,,"119.147 ,25.9111",4,S35线沈海复线福永段福州往仙游方向K18（距葛岭收费站约4公里，门前山隧道A道出口处）正在养护施工，占用应急车道，请途经车辆谨慎驾驶，提前减速。,0,,,,,,,,
132291,K18,K18,永泰葛岭收费站-旗山收费站,0.0,2016-07-11 16:37:29,14,2016-07-11 16:35:20,,,,,,2,福建高速公路,1468226120000,0,S35|S35线沈海复线,,,"119.147 ,25.911",4,S35线沈海复线福永段仙游往福州方向K18（过葛岭收费站4公里，门前山隧道入口处）正在养护施工，占用主车道和慢车道，该路段目前单车道通行，请途经车辆谨慎驾驶，提前减速。,0,,,,,,,,
132296,K73+600,K73+400,金山收费站-南靖丰田收费站,200.0,2016-07-11 17:56:23,14,2016-07-11 17:54:11,,,,,,2,福建高速公路,1468230851000,0,G76|厦蓉高速,,,"117.448 ,24.6633",4,G76线厦蓉高速漳州段龙岩往漳州方向K73+600至K73+400处（过南靖丰田收费所约1公里）正在养护施工，占用紧急停车带，请途经车辆谨慎驾驶，提前减速。,0,,,,,,,,
132297,K73+000,K72+600,南靖丰田收费站-天宝枢纽,400.0,2016-07-11 17:55:19,14,2016-07-11 17:53:22,,,,,,2,福建高速公路,1468230802000,0,G76|厦蓉高速,,,"117.457 ,24.6514",4,G76线厦蓉高速漳州段龙岩往漳州方向K73+000至K72+600处（过南靖丰田收费所约500米）正在养护施工，占用紧急停车带，请途经车辆谨慎驾驶，提前减速。,0,,,,,,,,
132697,K104,107,洋中收费站-金沙收费站,3000.0,2016-07-16 06:42:28,14,2016-07-16 08:18:35,,,,,,2,福建高速公路,1468628315000,0,G70|福银高速,,,"118.611 ,26.2624",4,G70线福银高速洋中段三明往福州方向K104-107处（距官洋服务区约3公里）正在养护施工，占用双车道，该路段目前福州往三明方向并道双向通行，道路通行比较缓慢，请途经车辆谨慎驾驶，提前减速。,0,,,,,,,,
132754,K338,K338,永定土楼收费站-永定下洋收费站,0.0,2016-07-16 10:06:10,14,2016-07-23 16:42:36,,,,,,2,福建高速公路,1469263356000,0,S12|莆永高速,,,"116.853 ,24.6312",4,S12线莆永高速永定段龙岩往永定方向K338处（下洋互通）正在进行养护施工，占用主车道，该路段目前单车道通行，请途经车辆谨慎驾驶，提前减速。,0,,,,,,,,
132857,K2846,K2846,建瓯东峰收费站-建瓯枢纽,0.0,2016-07-17 13:33:08,14,2016-07-17 13:30:39,,,,,,2,福建高速公路,1468733439000,0,G25|长深高速,,,"118.496 ,27.0671",4,G25线长深高速建瓯段东峰往建瓯方向K2846处（距北苑服务区约1公里），正在养护施工，占用主车道，该路段目前单车道通行，道路通行比较缓慢，请途经车辆谨慎驾驶，提前减速。,0,,,,,,,,
132859,K2846,K2846,建瓯枢纽-建瓯东峰收费站,0.0,2016-07-17 13:38:34,14,2016-07-17 13:36:52,,,,,,2,福建高速公路,1468733812000,0,G25|长深高速,,,"118.496 ,27.067",4,G25线长深高速建瓯段建瓯往东峰方向K2846处（过北苑服务区约1公里），正在养护施工，占用主车道，该路段目前单车道通行，道路通行比较缓慢，请途经车辆谨慎驾驶，提前减速。,0,,,,,,,,
132895,K75+000,K74+600,金山收费站-南靖丰田收费站,400.0,2016-07-17 17:22:59,14,2016-07-17 17:21:12,,,,,,2,福建高速公路,1468747272000,0,G76|厦蓉高速,,,"117.441 ,24.6693",4,G76线厦蓉高速漳州段龙岩往厦门方向K75+000至K74+600处（距南靖丰田收费所约2公里）正在养护施工，占用超车道，该路段目前单车道通行，请途经车辆谨慎驾驶，提前减速。,0,,,,,,,,
132991,K249+200,K246+820,嵩口收费站-明溪南收费站,2380.0,2016-07-18 22:17:50,14,2016-07-22 11:26:53,,,,,,2,福建高速公路,1469158013000,0,G72|泉南高速,,,"117.114 ,26.1912",4,G72线泉南高速清流段江西往泉州方向K249+200-K246+820（石壁前隧道内，距明溪南收费站约12公里）正在养护施工，占用主车道，该路段目前单车道通行，请途经车辆谨慎驾驶，提前减速。,0,,,,,,,,
133112,K18+300,K18+300,永泰葛岭收费站-旗山收费站,0.0,2016-07-20 08:00:10,14,2016-07-20 07:58:46,,,,,,2,福建高速公路,1468972726000,0,S35|S35线沈海复线,,,"118.908 ,25.7297",4,S35线沈海复线福永段永泰往福州方向K18+300（过葛岭收费所约3公里）正在养护施工，占用主车道、慢车道、紧急停车道，该路段目前单车道通行，请途经车辆谨慎驾驶，提前减速。,0,,,,,,,,
133114,K18+300,K18+300,旗山收费站-永泰葛岭收费站,0.0,2016-07-20 08:03:07,14,2016-07-20 08:00:44,,,,,,2,福建高速公路,1468972844000,0,S35|S35线沈海复线,,,"119.109 ,25.8995",4,S35线沈海复线福永段福州往永泰方向K18+300（距葛岭收费所约3公里）正在养护施工，占用紧急停车道道，请途经车辆谨慎驾驶，提前减速。,0,,,,,,,,
133175,K24,K20,长泰天柱山收费站-海沧枢纽,4000.0,2016-07-20 15:57:16,14,2016-07-31 19:27:28,,,,,,2,福建高速公路,1469964448000,0,G76|厦蓉高速,,,"117.867 ,24.5979",4,G76线厦蓉高速漳州段龙岩往厦门方向K24至K20（天成山隧道，过天柱山收费所约4公里）正在养护施工，占用第三车道，请途经车辆谨慎驾驶，提前减速。,0,,,,,,,,
133238,K180,K180,南安金淘收费站-安溪东收费站,0.0,2016-07-21 14:22:42,14,2016-07-21 14:20:40,,,,,,2,福建高速公路,1469082040000,0,S35|S35线沈海复线,,,"118.142 ,25.048",4,S35线沈海复线泉州段莆田往厦门方向K180处（过安溪收费站约3公里），正在养护施工，占用超车道，该路段目前主、慢车道可正常通行，请途经车辆谨慎驾驶。,0,,,,,,,,
133281,K70,K70+300,天宝枢纽-南靖丰田收费站,300.0,2016-07-21 19:19:13,14,2016-07-21 19:17:00,,,,,,2,福建高速公路,1469099820000,0,G76|厦蓉高速,,,"117.476 ,24.6469",4,G76线厦蓉高速漳州段漳州往龙岩方向AK70至K70+300处（过南靖丰田收费所约2公里）正在养护施工，占用超车道，该路段目前单车道通行，请途经车辆谨慎驾驶，提前减速。,0,,,,,,,,
